Kecamatan;Kelurahan;Tanggal;Lokasi Kebakaran;Benda;Penyebab Kebakaran;Nilai;Luas Areal (M2)
Coblong;Cipaganti;22-Nov-20;Jl. Cihampelas No. 10 RT 03 RW 05;2 (Dua) Buah  Rumah Semi Permanen;Masih Dalam Penyelidikan;1160000000;150
Kiaracondong;Babakan Sari;24-Nov-20;Jl. Ibrahim Adjie (Bawah Flyover);Tumpukan Sampah;Masih Dalam Penyelidikan;-;5
Rancasari;Mekar Jaya;29-Nov-20;Jl. Haji Sanusi Kp. Rancacili 02/02;Sebuah Rumah;Masih Dalam Penyelidikan;500000000;14
Bandung Wetan;Cihapit;30-Nov-20;Jl. Citarum RT 02 RW 04;Sebuah Pohon Angsara;Masih Dalam Penyelidikan;-;1
Buahbatu;Sekejati;30-Nov-20;Komplek Margahayu Raya Jl. Jupiter 9 No. 6 Blok G2 06/02;Sebuah Rumah (Kompor);Masih Dalam Penyelidikan;1960000000;-
Andir;Campaka;05-Nov-20;Jl. Bojong Koneng No. 1 RT 06/06;Sebuah Rumah Bagian Dapur;Diduga Dari Kompor Gas;300000000;1
Buahbatu;Sekejati;05-Nov-20;Jl. Meteor Raya RT 03 RW 05;Alat Penanak Nasi (Magic Com);Diduga Dari Magic Com Yang Over Heat;1500000000;10
Cibeunying Kidul;Cikutra;05-Nov-20;Jl. Lemahneundeut I RT 03 RW 07;Sebuah Rumah Semi Permanen  dan 1 (Satu) Buah Kendaraan Roda 2;Masih Dalam Penyelidikan;850000000;96
Bandung Wetan;Taman Sari;02 Desember 2020;Jl. Tamansari No. 19A;Sebuah Rumah;Masih Dalam Penyelidikan;2731800000;156
Antapani;Antapani Wetan;04 Desember 2020;Jl. Tanjung Sari Asri Tengah No. 27;Sebuah Rumah  (Bagian Kamar Lt 1);Masih Dalam Penyelidikan;1093300000;13
Bandung Wetan;Taman Sari;04 Desember 2020;Jl. Tamansari RT 05 RW 04 (Jembatan Layang Pasopati);Sebuah Kendaraan Roda 4 (Honda Accord);Diduga Dari Korsleting Listrik;-;-
Sukajadi;Cipedes;05 Desember 2020;Jl. Cipedes Bawah Gg. Sanusi;Tabung Gas 3 Kg;Diduga Dari Kebocoran Tabung Gas;20000000;-
Regol;Ancol;06 Desember 2020;Jl. Pasir Luyu V Belakang No. 34 RT 01 RW 08;Rumah Kontrakan Semi Permanen (20 Kamar);Masih Dalam Penyelidikan;6370000000;300
Sukajadi;Sukabungah;08 Desember 2020;Jl. Cibarengkok 15 RT 06 RW 07;Sebuah Rumah Permanen Lt.3;Diduga Dari Lilin;1000000000;21
Cidadap;Ciumbuleuit;09 Desember 2020;Jl. Ranca Bulan 5 No. 5 RT 02 / 06;2 (Dua) Buah Rumah;Diduga Dari Korsleting Listrik;2770000000;120
Bojongloa Kaler;Kopo;10 Desember 2020;Jl. Kopo Gg. Mesjid Al-Hidayah RT 03 RW 08;Sebuah Rumah;Masih Dalam Penyelidikan;1547000000;17
Sukasari;Gegerkalong;11 Desember 2020;Jl. Abdi Raya No. 135A RT 10 / 02;Sebuah Rumah (Bagian Kamar);Diduga Dari Lilin;850000000;12
Lengkong;Cijagra;23 Desember 2020;Jl. Suryalaya No. 33 (Indomaret);Kabel Listrik;Masih Dalam Penyelidikan;812000000;80
Cibeunying Kidul;Padasuka;24 Desember 2020;Jl. Sekepondok I RT 04 RW 09;Sebuah Rumah;Diduga Dari Korsleting Listrik;1547000000;40
Bandung Kulon;Cijerah;29 Desember 2020;SD Negri 240 Cijerah Jl. Mekar Hurip No. 18 RT 03 / 08 Jl. Tanjung Sari Asri Tengah No. 27;Sebuah Saung dan Mess Penjaga Sekolah;Masih Dalam Penyelidikan;56376000000;56
